HCG ra dec z err_z Dist(Mpc) mag_g e_mag_g mag_r e_mag_r mag_i e_mag_i mag_k e_mag_k ext_g ext_r ext_i cork_g cork_r cork_i cork_k Mag_g e_Mag_g Mag_r e_Mag_r Mag_i e_Mag_i Mag_Ks e_Mag_Ks log_SM(H0=70) e_log(SM) R50(arcsec) e_R50(arcsec) R50(kpc) e_R50(kpc) ELLIPTICITY THETA_IMAGE a(arcsec) e_a(arcsec) b(arcsec) e_b(arcsec)
      HCG39d  142.3630   -1.3395   0.07021   0.00012   296.076  17.2527   0.0040  16.3491   0.0030  15.9090   0.0032  14.9890   0.1410  0.1252  0.0908  0.0688   0.1852   0.0908   0.0544  -0.1223  -20.5620   0.0040  -21.3369   0.0030  -21.7186   0.0032  -22.3930   0.1410   10.673    0.056   1.928   0.008   2.586   0.010  0.330 -47.80  9.297  0.037  6.230  0.026
      HCG43a  152.8330   -0.0230   0.03390   0.00013   144.170  15.4405   0.0017  14.6951   0.0014  14.2771   0.0015  13.3890   0.0700  0.1408  0.1021  0.0774   0.0577   0.0601   0.0254  -0.0589  -20.6248   0.0017  -21.3339   0.0014  -21.6925   0.0015  -22.4189   0.0700   10.593    0.028   5.252   0.008   3.550   0.006  0.642 -20.60 26.667  0.042  9.542  0.017
      HCG43b  152.7810   -0.0422   0.03365   0.00012   143.102  15.7377   0.0030  15.1489   0.0021  14.8148   0.0025  13.9490   0.1020  0.1343  0.0974  0.0739   0.0370   0.0555   0.0089  -0.0610  -20.2837   0.0030  -20.8541   0.0021  -21.1181   0.0025  -21.8401   0.1020   10.298    0.041   5.325   0.014   3.574   0.010  0.742  50.80 32.870  0.088  8.490  0.019
      HCG43c  152.8030   -0.0675   0.03308   0.00011   140.692  15.7170   0.0016  14.8750   0.0011  14.4566   0.0012  13.7510   0.0730  0.1354  0.0982  0.0744   0.0743   0.0534   0.0287  -0.0585  -20.3047   0.0016  -21.0886   0.0011  -21.4586   0.0012  -22.0025   0.0730   10.543    0.029   2.605   0.005   1.720   0.003  0.520  79.70 15.041  0.029  7.226  0.014
      HCG43d  152.8040   -0.0871   0.03212   0.00012   136.664  16.8244   0.0037  16.1343   0.0030  15.7747   0.0036  15.0070   0.1880  0.1334  0.0967  0.0734   0.0503   0.0527   0.0160  -0.0579  -19.1062   0.0037  -19.7620   0.0030  -20.0616   0.0036  -20.6820   0.1880    9.925    0.075   3.270   0.012   2.099   0.008  0.117 -39.20 10.848  0.039  9.578  0.033
      HCG43e  152.8100   -0.0514   0.03214   0.00023   136.749  16.8607   0.0058  15.9452   0.0037  15.4979   0.0040  14.6390   0.1460  0.1376  0.0998  0.0757   0.0830   0.0514   0.0336  -0.0561  -19.1082   0.0058  -19.9543   0.0037  -20.3597   0.0040  -21.0532   0.1460   10.127    0.058   3.650   0.015   2.345   0.009  0.250  51.20 15.765  0.063 11.818  0.047
      HCG44c  154.4110   21.6882   0.00406   0.00000    17.384  12.6198   0.0005  11.8961   0.0004  11.5094   0.0005  10.9950   0.0240  0.1010  0.0733  0.0556   0.0042   0.0045   0.0034  -0.0060  -18.6950   0.0005  -19.3913   0.0004  -19.7592   0.0005  -20.2086   0.0240    9.802    0.010  22.564   0.010   1.894   0.001  0.421  38.00 85.838  0.038 49.734  0.022
      HCG45a  154.8070   59.1311   0.07275   0.00011   306.625  15.1507   0.0026  14.3814   0.0018  13.8985   0.0017  12.9510   0.0440  0.0419  0.0304  0.0230   0.1493   0.1238   0.0404  -0.1195  -22.6260   0.0026  -23.3583   0.0018  -23.7505   0.0017  -24.5151   0.0440   11.429    0.018   8.777   0.015  12.163   0.021  0.644 -16.00 49.411  0.086 17.598  0.030
      HCG45b  154.7720   59.1055   0.07403   0.00010   311.930  16.2465   0.0036  15.4205   0.0024  15.0026   0.0025  14.2090   0.0740  0.0397  0.0288  0.0218   0.1797   0.0924   0.0450  -0.1294  -21.5982   0.0036  -22.3260   0.0024  -22.6896   0.0025  -23.2870   0.0740   11.044    0.030   4.119   0.012   5.799   0.016  0.376  82.70 19.153  0.054 11.943  0.032
      HCG45c  154.7820   59.0845   0.07265   0.00016   306.207  17.5522   0.0092  16.7641   0.0065  16.1116   0.0070  15.0080   0.1270  0.0369  0.0268  0.0203   0.1300   0.1883   0.0747  -0.1099  -20.1970   0.0092  -21.0334   0.0065  -21.5658   0.0070  -22.4645   0.1270   10.563    0.051   4.405   0.026   6.097   0.036  0.777  38.00 26.074  0.153  5.818  0.032
      HCG45d  154.8180   59.1376   0.06916   0.00014   291.745  17.0716   0.0047  16.1397   0.0034  15.7486   0.0035  15.0370   0.1350  0.0417  0.0302  0.0229   0.2021   0.0791   0.0518  -0.1276  -20.6424   0.0047  -21.4398   0.0034  -21.7963   0.0035  -22.3056   0.1350   10.736    0.054   2.500   0.010   3.308   0.013  0.194  57.30 10.977  0.042  8.843  0.035
      HCG46a  155.5300   17.8381   0.02736   0.00012   116.514  15.6091   0.0029  14.7306   0.0022  14.3280   0.0025  13.7310   0.0720  0.1227  0.0890  0.0675   0.0703   0.0351   0.0253  -0.0503  -19.9744   0.0029  -20.7840   0.0022  -21.1553   0.0025  -21.6092   0.0720   10.459    0.029   5.860   0.015   3.222   0.008  0.267 -45.20 25.032  0.063 18.357  0.045
      HCG46b  155.5540   17.8538   0.02859   0.00012   121.736  15.6258   0.0029  14.8457   0.0021  14.4117   0.0023  13.7850   0.0690  0.1223  0.0887  0.0672   0.0564   0.0449   0.0255  -0.0498  -20.0412   0.0029  -20.7762   0.0021  -21.1694   0.0023  -21.6535   0.0690   10.406    0.028   4.869   0.012   2.794   0.007  0.214   6.00 20.928  0.051 16.447  0.038
      HCG46c  155.5530   17.8595   0.02637   0.00014   112.349  15.5724   0.0022  14.7338   0.0018  14.2989   0.0020  13.6960   0.0710  0.1217  0.0883  0.0669   0.0588   0.0429   0.0259  -0.0460  -19.9174   0.0022  -20.7067   0.0018  -21.1033   0.0020  -21.5674   0.0710   10.396    0.028   4.272   0.010   2.267   0.005  0.055 -78.00 17.966  0.041 16.975  0.040
      HCG46d  155.5720   17.8819   0.02569   0.00011   109.477  15.8328   0.0025  15.0116   0.0018  14.6014   0.0021  13.9300   0.0740  0.1192  0.0865  0.0656   0.0554   0.0413   0.0233  -0.0453  -19.5935   0.0025  -20.3679   0.0018  -20.7392   0.0021  -21.2764   0.0740   10.246    0.030   4.201   0.009   2.174   0.005  0.378  76.90 18.452  0.040 11.486  0.027
      HCG47a  156.4430   13.7169   0.03233   0.00007   137.534  14.2151   0.0011  13.5151   0.0009  13.1020   0.0012  12.4760   0.0380  0.1598  0.1159  0.0879   0.0484   0.0540   0.0221  -0.0564  -21.7542   0.0011  -22.4159   0.0009  -22.7691   0.0012  -23.2287   0.0380   11.017    0.015  10.539   0.012   6.807   0.008  0.426 -74.50 44.458  0.052 25.540  0.026
      HCG47b  156.4520   13.7279   0.03164   0.00011   134.649  15.1666   0.0014  14.2799   0.0010  13.8459   0.0012  12.8780   0.0460  0.1605  0.1164  0.0883   0.0761   0.0516   0.0306  -0.0553  -20.7837   0.0014  -21.6018   0.0010  -21.9867   0.0012  -22.7804   0.0460   10.766    0.018   4.883   0.006   3.090   0.004  0.103  13.40 18.252  0.022 16.364  0.020
      HCG47c  156.4540   13.7532   0.03187   0.00010   135.579  16.1458   0.0036  15.4711   0.0029  15.1153   0.0036  14.6340   0.0980  0.1621  0.1176  0.0892   0.0509   0.0420   0.0135  -0.0602  -19.7963   0.0036  -20.4175   0.0029  -20.7164   0.0036  -21.0348   0.0980   10.200    0.039   4.709   0.015   3.000   0.010  0.205 -23.50 17.774  0.058 14.140  0.047
      HCG49a  164.1740   67.1849   0.03315   0.00006   140.988  15.8499   0.0025  15.5721   0.0031  15.3703   0.0040  15.5920   0.2210  0.0548  0.0398  0.0301  -0.0028   0.0534  -0.0188  -0.0651  -20.0189   0.0025  -20.3378   0.0031  -20.4578   0.0040  -20.1596   0.2210    9.940    0.088   4.771   0.017   3.156   0.011  0.485 -38.90 20.581  0.071 10.598  0.039
      HCG49b  164.1630   67.1803   0.03313   0.00003   140.903  16.3649   0.0025  16.2828   0.0041  16.1074   0.0057  16.0270   0.2670  0.0550  0.0399  0.0302  -0.0333   0.0743  -0.0291  -0.0587  -19.4722   0.0025  -19.6468   0.0041  -19.7091   0.0057  -19.7297   0.2670    9.617    0.107   3.191   0.016   2.110   0.010  0.574  -9.50 15.755  0.078  6.714  0.033
      HCG49c  164.1530   67.1812   0.03311   0.00020   140.836  17.0073   0.0062  16.8049   0.0080  16.6468   0.0101 -99.0000 -99.0000  0.0547  0.0397  0.0301  -0.0146   0.0631  -0.0280 -99.0000  -18.8471   0.0062  -19.1121   0.0080  -19.1696   0.0101  -99.0000 -99.0000    9.368    0.006   3.541   0.027   2.340   0.018  0.234  15.70 12.779  0.097  9.792  0.073
      HCG49d  164.1400   67.1780   0.03339   0.00024   142.017  16.9925   0.0034  16.7770   0.0042  16.6238   0.0055 -99.0000 -99.0000  0.0547  0.0397  0.0301  -0.0118   0.0615  -0.0297 -99.0000  -18.8834   0.0034  -19.1572   0.0042  -19.2096   0.0055  -99.0000 -99.0000    9.372    0.003   1.614   0.011   1.075   0.007  0.382 -26.60  7.666  0.051  4.736  0.027
      HCG50a  169.2770   54.9171   0.13966   0.00039   579.270  17.5043   0.0097  16.3571   0.0065  15.8817   0.0070  15.4280   0.1130  0.0457  0.0331  0.0251   0.4920   0.1780   0.1112  -0.2502  -22.1316   0.0097  -22.9523   0.0065  -23.3529   0.0070  -23.4201   0.1130   11.349    0.046   5.025   0.030  12.383   0.075  0.228  -9.50 16.374  0.099 12.639  0.080
      HCG50b  169.2850   54.9174   0.13733   0.00037   569.909  18.0308   0.0108  16.9018   0.0068  16.5051   0.0071  15.4440   0.1690  0.0456  0.0331  0.0251   0.4759   0.1645   0.1010  -0.2568  -21.5492   0.0108  -22.3542   0.0068  -22.6795   0.0071  -23.3577   0.1690   11.098    0.068   2.509   0.016   6.094   0.038  0.596 -29.20 13.164  0.083  5.314  0.034
      HCG50c  169.2670   54.9209   0.13792   0.00014   572.263  18.4308   0.0164  17.3488   0.0105  16.9581   0.0113 -99.0000 -99.0000  0.0460  0.0334  0.0253   0.4636   0.1573   0.0924 -99.0000  -21.1473   0.0164  -21.9104   0.0105  -22.2281   0.0113  -99.0000 -99.0000   10.915    0.009   2.789   0.026   6.799   0.063  0.180 -83.00  9.984  0.093  8.183  0.075
      HCG50d  169.2770   54.9237   0.14192   0.00021   588.301  18.6141   0.0156  17.4860   0.0094  16.9988   0.0091  15.6260   0.1930  0.0462  0.0335  0.0254   0.4999   0.2120   0.1334  -0.2294  -21.0682   0.0156  -21.8957   0.0094  -22.2961   0.0091  -23.2808   0.1930   10.923    0.078   2.059   0.017   5.142   0.043  0.651 -36.70 11.082  0.093  3.867  0.029
      HCG50e  169.2860   54.9206   0.13893   0.00021   576.329  19.2316   0.0202  18.1260   0.0123  17.6547   0.0130 -99.0000 -99.0000  0.0458  0.0332  0.0252   0.4789   0.1999   0.1261 -99.0000  -20.3790   0.0202  -21.1930   0.0123  -21.5825   0.0130  -99.0000 -99.0000   10.638    0.011   1.373   0.016   3.368   0.039  0.365   9.40  6.014  0.070  3.817  0.042
      HCG51b  170.5590   24.3001   0.02742   0.00016   116.768  14.8291   0.0018  14.0979   0.0014  13.7089   0.0015  13.1320   0.0720  0.0632  0.0459  0.0348   0.0479   0.0471   0.0215  -0.0478  -20.6773   0.0018  -21.3904   0.0014  -21.7427   0.0015  -22.2156   0.0720   10.613    0.029   8.494   0.012   4.680   0.007  0.427 -89.90 36.861  0.054 21.116  0.029
      HCG51c  170.6250   24.2793   0.02969   0.00007   126.404  14.0255   0.0011  13.2114   0.0009  12.8233   0.0009  12.1820   0.0430  0.0666  0.0483  0.0366   0.0661   0.0462   0.0249  -0.0530  -21.6795   0.0011  -22.4555   0.0009  -22.8106   0.0009  -23.3373   0.0430   11.086    0.017   9.428   0.010   5.611   0.006  0.409 -12.80 51.494  0.056 30.443  0.034
      HCG51e  170.5550   24.3172   0.02568   0.00008   109.435  15.1495   0.0011  14.2789   0.0009  13.8424   0.0010  12.9420   0.0510  0.0625  0.0453  0.0344   0.0585   0.0488   0.0285  -0.0435  -20.2223   0.0011  -21.0661   0.0009  -21.4713   0.0010  -22.2654   0.0510   10.538    0.020   3.373   0.005   1.745   0.003  0.069  59.90 15.059  0.024 14.019  0.022
      HCG51g  170.6170   24.2954   0.02512   0.00014   107.062  16.4500   0.0033  15.6442   0.0031  15.2450   0.0031 -99.0000 -99.0000  0.0658  0.0477  0.0362   0.0492   0.0479   0.0239 -99.0000  -18.8671   0.0033  -19.6535   0.0031  -20.0172   0.0031  -99.0000 -99.0000    9.933    0.002   1.527   0.007   0.773   0.003  0.079  74.90  7.728  0.034  7.117  0.032
      HCG53a  172.2100   20.7950   0.02088   0.00010    89.080  13.4293   0.0008  12.8344   0.0007  12.4996   0.0007  11.8510   0.0350  0.1004  0.0728  0.0552   0.0188   0.0348   0.0127  -0.0367  -21.4837   0.0008  -22.0671   0.0007  -22.3621   0.0007  -22.9061   0.0350   10.808    0.014  16.124   0.011   6.821   0.005  0.684   1.20 78.535  0.055 24.822  0.018
      HCG53b  172.2490   20.7391   0.02113   0.00008    90.129  14.5968   0.0009  13.7791   0.0007  13.3687   0.0007  12.7260   0.0350  0.0939  0.0681  0.0517   0.0426   0.0371   0.0208  -0.0368  -20.3595   0.0009  -21.1458   0.0007  -21.5235   0.0007  -22.0570   0.0350   10.541    0.014   4.629   0.005   1.981   0.002  0.383  24.50 27.288  0.031 16.825  0.019
      HCG53c  172.2440   20.7497   0.02084   0.00006    88.911  14.8958   0.0012  14.4478   0.0012  14.2072   0.0014  14.1420   0.0890  0.0968  0.0702  0.0532   0.0076   0.0306   0.0027  -0.0388  -19.9982   0.0012  -20.4425   0.0012  -20.6383   0.0014  -20.6087   0.0890   10.063    0.036   6.859   0.010   2.896   0.004  0.246  23.70 26.441  0.040 19.943  0.026
      HCG53d  172.3110   20.7731   0.02095 -99.00000    89.352  16.2723   0.0031  15.6901   0.0027  15.3441   0.0031  15.3490   0.1620  0.0969  0.0703  0.0533   0.0214   0.0273   0.0120  -0.0379  -18.6465   0.0031  -19.2081   0.0027  -19.5218   0.0031  -19.4136   0.1620    9.692    0.065   5.637   0.015   2.392   0.007  0.591  -2.40 28.067  0.077 11.478  0.033
      HCG56a  173.1950   52.9409   0.02737   0.00011   116.573  15.7843   0.0035  15.0716   0.0017  14.6624   0.0018  12.3290   0.0540  0.0548  0.0398  0.0302   0.0391   0.0554   0.0245  -0.0457  -19.7013   0.0035  -20.4152   0.0017  -20.7839   0.0018  -23.0169   0.0540   10.206    0.022   6.826   0.013   3.755   0.007  0.828  83.20 34.916  0.064  6.020  0.012
      HCG56b  173.1680   52.9504   0.02641   0.00013   112.531  14.6632   0.0010  14.0079   0.0006  13.6758   0.0007  11.8640   0.0570  0.0546  0.0396  0.0300   0.0366   0.0482   0.0141  -0.0466  -20.7409   0.0010  -21.3928   0.0006  -21.6813   0.0007  -23.4023   0.0570   10.540    0.023   3.179   0.003   1.690   0.002  0.710 -34.30 24.444  0.027  7.100  0.009
      HCG56c  173.1530   52.9477   0.02705   0.00009   115.227  15.1456   0.0019  14.4134   0.0009  14.0413   0.0011 -99.0000 -99.0000  0.0545  0.0395  0.0300   0.0459   0.0504   0.0200 -99.0000  -20.3206   0.0019  -21.0423   0.0009  -21.3744   0.0011  -99.0000 -99.0000   10.449    0.001   3.818   0.006   2.077   0.003  0.167 -53.60 17.175  0.028 14.313  0.020
      HCG56d  173.1470   52.9473   0.02784   0.00019   118.558  15.9947   0.0044  15.2341   0.0023  14.8455   0.0025 -99.0000 -99.0000  0.0545  0.0395  0.0300   0.0507   0.0523   0.0226 -99.0000  -19.5397   0.0044  -20.2870   0.0023  -20.6364   0.0025  -99.0000 -99.0000   10.166    0.002   4.549   0.012   2.544   0.007  0.494  60.20 22.751  0.060 11.503  0.031
      HCG56e  173.1370   52.9393   0.02664   0.00010   113.504  16.0840   0.0032  15.4946   0.0024  15.2190   0.0029  14.8150   0.0800  0.0546  0.0396  0.0300   0.0355   0.0360   0.0056  -0.0526  -19.3383   0.0032  -19.9132   0.0024  -20.1488   0.0029  -20.4645   0.0800    9.932    0.032   3.456   0.011   1.853   0.006  0.247 -79.30 15.692  0.051 11.822  0.037
      HCG57b  174.4320   22.0098   0.03009   0.00007   128.095  14.5126   0.0015  13.7530   0.0012  13.3567   0.0013  12.8270   0.0520  0.1174  0.0852  0.0646   0.0580   0.0466   0.0222  -0.0536  -21.2649   0.0015  -21.9808   0.0012  -22.3321   0.0013  -22.7214   0.0520   10.869    0.021   9.467   0.012   5.707   0.007  0.472  32.50 42.953  0.055 22.692  0.027
      HCG57c  174.4650   21.9743   0.03029   0.00012   128.928  14.5629   0.0014  13.7071   0.0012  13.2952   0.0012 -99.0000 -99.0000  0.1150  0.0834  0.0632   0.0683   0.0524   0.0281 -99.0000  -21.2369   0.0014  -22.0452   0.0012  -22.4127   0.0012  -99.0000 -99.0000   10.923    0.001   7.901   0.011   4.793   0.007  0.306  60.70 38.269  0.054 26.560  0.037
      HCG57d  174.4790   21.9855   0.02994   0.00014   127.461  14.9681   0.0016  14.4407   0.0015  14.0896   0.0016 -99.0000 -99.0000  0.1183  0.0858  0.0650   0.0167   0.0600   0.0137 -99.0000  -20.7578   0.0016  -21.2960   0.0015  -21.5801   0.0016  -99.0000 -99.0000   10.489    0.001   6.676   0.010   4.005   0.006  0.266  89.00 23.259  0.034 17.060  0.031
      HCG57e  174.4540   22.0261   0.02941   0.00006   125.191  15.2982   0.0013  14.4212   0.0010  14.0034   0.0010  13.2940   0.0480  0.1182  0.0857  0.0650   0.0712   0.0466   0.0284  -0.0518  -20.4420   0.0013  -21.2619   0.0010  -21.6408   0.0010  -22.2050   0.0480   10.631    0.019   3.488   0.005   2.057   0.003  0.499  47.60 19.339  0.030  9.682  0.013
      HCG57f  174.4740   21.9365   0.03133   0.00013   133.340  15.2756   0.0019  14.4461   0.0015  14.0571   0.0015  13.4000   0.0790  0.1069  0.0775  0.0588   0.0712   0.0466   0.0254  -0.0565  -20.5944   0.0019  -21.3699   0.0015  -21.7189   0.0015  -22.2353   0.0790   10.657    0.032   5.601   0.010   3.511   0.006  0.401 -84.00 29.953  0.053 17.932  0.031
      HCG57g  174.4350   22.0213   0.03156   0.00008   134.311  15.7129   0.0019  14.8726   0.0015  14.4621   0.0016  13.5340   0.0750  0.1173  0.0851  0.0645   0.0709   0.0516   0.0278  -0.0555  -20.1833   0.0019  -20.9721   0.0015  -21.3382   0.0016  -22.1186   0.0750   10.495    0.030   3.589   0.007   2.266   0.004  0.350   8.50 17.576  0.034 11.429  0.023
      HCG57h  174.4600   22.0126   0.03082   0.00035   131.168  16.6781   0.0047  15.8857   0.0039  15.5213   0.0043  14.8330   0.1230  0.1183  0.0858  0.0650   0.0675   0.0405   0.0208  -0.0579  -19.1627   0.0047  -19.8956   0.0039  -20.2196   0.0043  -20.7642   0.1230   10.059    0.049   4.200   0.015   2.591   0.009  0.286 -71.80 16.434  0.059 11.729  0.047
      HCG58a  175.5460   10.2778   0.02090   0.00002    89.165  13.5729   0.0007  12.8305   0.0005  12.4361   0.0006  11.4300   0.0270  0.2142  0.1554  0.1178   0.0300   0.0376   0.0169  -0.0364  -21.4672   0.0007  -22.1584   0.0005  -22.4945   0.0006  -23.3295   0.0270   10.886    0.011   8.093   0.006   3.427   0.003  0.430  83.60 38.252  0.029 21.810  0.018
      HCG58b  175.5990   10.2641   0.02169   0.00006    92.510  13.3928   0.0007  12.6244   0.0006  12.2098   0.0006  11.7370   0.0280  0.2157  0.1564  0.1186   0.0370   0.0343   0.0183  -0.0382  -21.7375   0.0007  -22.4438   0.0006  -22.8047   0.0006  -23.1024   0.0280   11.041    0.011   8.051   0.007   3.534   0.003  0.298  61.10 42.876  0.038 30.118  0.025
      HCG58c  175.4710   10.3044   0.02036   0.00006    86.843  13.8588   0.0009  13.1125   0.0006  12.7081   0.0007  12.0290   0.0470  0.1901  0.1379  0.1045   0.0295   0.0365   0.0178  -0.0352  -21.0982   0.0009  -21.7993   0.0006  -22.1516   0.0007  -22.6732   0.0470   10.754    0.019  10.335   0.008   4.264   0.003  0.191  17.10 35.800  0.029 28.964  0.024
      HCG58d  175.5240   10.3511   0.02093   0.00004    89.267  14.3409   0.0012  13.5126   0.0008  13.0642   0.0009  12.3930   0.0540  0.2046  0.1484  0.1125   0.0380   0.0388   0.0219  -0.0357  -20.7001   0.0012  -21.4730   0.0008  -21.8687   0.0009  -22.3697   0.0540   10.666    0.022   7.333   0.008   3.108   0.003  0.154  58.80 31.861  0.034 26.950  0.030
      HCG58e  175.5200   10.3842   0.02035   0.00011    86.834  14.8888   0.0019  14.3280   0.0016  14.0046   0.0019  13.4430   0.1080  0.1972  0.1430  0.1084   0.0122   0.0334   0.0099  -0.0360  -20.0578   0.0019  -20.5857   0.0016  -20.8510   0.0019  -21.2582   0.1080   10.186    0.043   8.988   0.014   3.708   0.006  0.254 -64.90 31.141  0.049 23.241  0.037
      HCG59a  177.1150   12.7274   0.01371   0.00010    58.558  14.5148   0.0011  13.8416   0.0009  13.5123   0.0009  13.0330   0.0380  0.1403  0.1018  0.0772   0.0181   0.0178   0.0086  -0.0256  -19.5111   0.0011  -20.1455   0.0009  -20.4410   0.0009  -20.8089   0.0380   10.055    0.015   5.237   0.006   1.467   0.002  0.206   8.60 23.233  0.029 18.437  0.022
      HCG59b  177.0840   12.7166   0.01336   0.00009    57.068  15.2156   0.0020  14.4828   0.0016  14.0952   0.0015  13.6220   0.0610  0.1392  0.1010  0.0766   0.0213   0.0175   0.0113  -0.0245  -18.7557   0.0020  -19.4464   0.0016  -19.8034   0.0015  -20.1642   0.0610    9.835    0.024   5.350   0.009   1.461   0.003  0.108  -5.10 21.920  0.039 19.559  0.035
      HCG59c  177.1350   12.7053   0.01466   0.00009    62.604  15.8216   0.0033  15.3088   0.0031  15.0472   0.0035  14.8320   0.1360  0.1384  0.1004  0.0761   0.0096   0.0152   0.0040  -0.0285  -18.3410   0.0033  -18.8213   0.0031  -19.0475   0.0035  -19.1541   0.1360    9.456    0.054   7.433   0.022   2.223   0.007  0.678  -2.50 33.305  0.101 10.735  0.033
      HCG60a  180.7800   51.6752   0.06340   0.00015   267.793  15.2267   0.0023  14.2769   0.0017  13.8386   0.0020  13.2690   0.0600  0.0890  0.0646  0.0490   0.1871   0.0811   0.0538  -0.1145  -22.3220   0.0023  -23.1412   0.0017  -23.5367   0.0020  -23.8890   0.0600   11.425    0.024   8.465   0.017  10.334   0.021  0.235 -21.00 33.817  0.067 25.862  0.053
      HCG60b  180.7360   51.6950   0.06136   0.00018   259.309  16.4228   0.0043  15.5230   0.0032  15.0876   0.0032  14.4320   0.0880  0.0837  0.0607  0.0460   0.1697   0.0777   0.0469  -0.1121  -21.0290   0.0043  -21.8138   0.0032  -22.2038   0.0032  -22.6543   0.0880   10.881    0.035   4.773   0.014   5.653   0.017  0.339  27.80 20.710  0.061 13.696  0.041
      HCG60c  180.7790   51.6854   0.06430   0.00060   271.537  16.4540   0.0054  15.7374   0.0041  15.2909   0.0049  14.4750   0.1280  0.0887  0.0643  0.0488   0.1151   0.0979   0.0260  -0.1119  -21.0542   0.0054  -21.7293   0.0041  -22.0884   0.0049  -22.7176   0.1280   10.755    0.051   6.021   0.023   7.448   0.029  0.453 -87.40 25.411  0.098 13.904  0.055
      HCG60d  180.7900   51.6782   0.06078   0.00016   256.901  16.5314   0.0041  15.6511   0.0034  15.2721   0.0037  14.6810   0.1170  0.0901  0.0654  0.0496   0.1637   0.0625   0.0389  -0.1176  -20.8994   0.0041  -21.6537   0.0034  -21.9933   0.0037  -22.3783   0.1170   10.808    0.047   4.152   0.016   4.875   0.018  0.129   5.40 15.545  0.058 13.538  0.051
      HCG66a  204.6590   57.3123   0.06901   0.00012   291.093  15.3311   0.0026  14.4063   0.0015  13.9771   0.0018  13.0310   0.0700  0.0299  0.0217  0.0164   0.1973   0.0915   0.0588  -0.1207  -22.3612   0.0026  -23.1719   0.0015  -23.5632   0.0018  -24.3134   0.0700   11.427    0.028   6.062   0.012   8.003   0.016  0.154  31.40 24.591  0.049 20.804  0.042
      HCG66b  204.6680   57.3125   0.07152   0.00017   301.491  16.3291   0.0050  15.4685   0.0029  15.0591   0.0035 -99.0000 -99.0000  0.0297  0.0216  0.0163   0.1829   0.0877   0.0526 -99.0000  -21.4299   0.0050  -22.1871   0.0029  -22.5562   0.0035  -99.0000 -99.0000   11.006    0.003   4.969   0.017   6.778   0.023  0.434  66.30 21.977  0.076 12.444  0.041
      HCG66c  204.6460   57.3082   0.06938   0.00025   292.658  16.7434   0.0037  15.8665   0.0022  15.4798   0.0028  14.8110   0.1150  0.0295  0.0214  0.0162   0.1883   0.0765   0.0469  -0.1284  -20.9518   0.0037  -21.7088   0.0022  -22.0608   0.0028  -22.5381   0.1150   10.828    0.046   2.185   0.008   2.899   0.010  0.520  75.20 12.509  0.044  6.000  0.021
      HCG66d  204.6430   57.3043   0.06893   0.00018   290.790  17.7527   0.0067  16.8219   0.0038  16.4156   0.0045  15.4150   0.1460  0.0291  0.0211  0.0160   0.2008   0.0843   0.0553  -0.1240  -19.9399   0.0067  -20.7462   0.0038  -21.1184   0.0045  -21.9236   0.1460   10.460    0.059   1.416   0.007   1.868   0.010  0.194   7.00  6.053  0.032  4.878  0.025
      HCG68d  208.4400   40.3387   0.00782   0.00002    33.451  13.8179   0.0007  13.1347   0.0006  12.7611   0.0008  12.3010   0.0290  0.0399  0.0290  0.0220   0.0093   0.0097   0.0071  -0.0136  -18.8703   0.0007  -19.5429   0.0006  -19.9069   0.0008  -20.3244   0.0290    9.866    0.012   7.509   0.007   1.208   0.001  0.320 -61.80 37.041  0.037 25.176  0.024
      HCG68e  208.5020   40.2773   0.00805   0.00002    34.420  14.2985   0.0008  13.5901   0.0007  13.2186   0.0008  12.7480   0.0380  0.0378  0.0274  0.0208   0.0103   0.0106   0.0075  -0.0139  -18.4512   0.0008  -19.1494   0.0007  -19.5112   0.0008  -19.9396   0.0380    9.704    0.015   6.025   0.007   0.997   0.001  0.624  49.30 36.491  0.042 13.739  0.015
      HCG69b  208.8930   25.0498   0.02910   0.00009   123.893  15.4180   0.0014  14.7268   0.0012  14.3737   0.0015  13.6080   0.0570  0.0679  0.0493  0.0374   0.0472   0.0485   0.0170  -0.0521  -20.2247   0.0014  -20.8984   0.0012  -21.2082   0.0015  -21.8674   0.0570   10.390    0.023   4.356   0.008   2.542   0.005  0.320 -21.90 17.408  0.033 11.829  0.022
      HCG69c  208.8860   25.0744   0.02851   0.00015   121.380  15.5708   0.0014  14.7918   0.0012  14.4261   0.0014  13.8930   0.0530  0.0687  0.0498  0.0378   0.0606   0.0411   0.0208  -0.0524  -20.0403   0.0014  -20.7810   0.0012  -21.1143   0.0014  -21.5364   0.0530   10.405    0.021   2.968   0.006   1.698   0.003  0.360  19.20 16.224  0.031 10.382  0.019
      HCG69d  208.8680   25.0736   0.02955   0.00016   125.804  16.5719   0.0027  15.7961   0.0021  15.3776   0.0026 -99.0000 -99.0000  0.0683  0.0495  0.0376   0.0540   0.0574   0.0270 -99.0000  -19.1121   0.0027  -19.8726   0.0021  -20.2487   0.0026  -99.0000 -99.0000   10.021    0.002   2.897   0.010   1.716   0.006  0.524 -47.80 14.886  0.050  7.082  0.021
